codigo,nome,periodo,tipo,carga_horaria
F105287,FUNDAMENTOS DE PROGRAMACAO,1,N,80
F105988,FUNDAMENTOS DA MATEMATICA COMPUTACIONAL,1,N,40
F105996,FUNDAMENTOS P COMPUTACAO E ARQ DE COMPUTADORES,1,H,80
F106003,INGLES PARA COMPUTACAO,1,H,80
H108879,FILOSOFIA E CIDADANIA,1,O,80
F106011,LABORATORIO DE PROGRAMACAO,2,N,80
F106020,ESTRUTURA DE DADOS,2,N,80
F106038,SISTEMAS DIGITAIS,2,H,80
F106046,CALCULO PARA COMPUTACAO I,2,H,80
H108607,METODOLOGIA CIENTIFICA,2,O,80
F101060,ESTATISTICA COMPUTACIONAL,3,H,80
F105333,PROJETO DE IDEACAO DE SOFTWARE,3,N,40
F106054,DESIGN DE ARTEFATOS DIGITAIS,3,N,40
F106062,CALCULO PARA COMPUTACAO II,3,H,80
F106070,ESTRUTURA DE DADOS AVANCADA,3,H,80
H113040,CRIATIVIDADE E INOVACAO,3,O,80
F101427,TEORIA DOS GRAFOS,4,H,80
F101494,ENGENHARIA DE SOFTWARE,4,H,80
F106089,DESENVOLVIMENTO ORIENTADO A OBJETO,4,N,80
F106097,SISTEMAS OPERACIONAIS,4,N,80
H115484,EXPERIENCIA EXTENSIONISTA I,4,E,80
F103713,REDES DE COMPUTADORES,5,H,80
F106100,LABORATORIO DE ENGENHARIA DE SOFTWARE,5,N,80
F106119,MODELAGEM DE DADOS,5,H,80
H108828,FUNDAMENTOS ANTROPOLOGICOS E SOCIOLOGICOS,5,O,80
H115522,EXPERIENCIA EXTENSIONISTA II,5,E,80
F106127,LABORATORIO DE BANCO DE DADOS,6,N,80
F106135,PROGRAMACAO WEB,6,N,80
F106143,INTERFACE HUMANO COMPUTADOR,6,H,80
F106151,CLOUD COMPUTING,6,H,80
H115557,EXPERIENCIA EXTENSIONISTA III,6,E,80
F105848,INTELIGENCIA ARTIFICIAL,7,N,80
F106160,DESENVOLVIMENTO PARA DISPOSITIVOS MOVEIS,7,N,80
F106178,PROCESSAMENTO DE IMAGEM E COMPUTACAO GRAFICA,7,H,80
F106186,COMPILADORES,7,H,80
H115638,EXPERIENCIA EXTENSIONISTA IV,7,E,80
F106194,MACHINE LEARNING,8,N,80
F106208,DESENVOLVIMENTO SEGURO,8,N,80
F106216,PROGRAMACAO AVANCADA,8,H,80
H116162,EXPERIENCIA EXTENSIONISTA V,8,E,80
OPT0001,OPTATIVA 1,8,O,80
F102202,TOPICOS ESPECIAIS EM COMPUTACAO,9,N,80
F104957,TCC,9,N,40
F106232,DIREITO DIGITAL,9,N,40
F106240,ESTAGIO SUPERVISIONADO,9,N,40
